,TICKER,Security
304,MLM,Martin Marietta Materials
305,MAS,Masco Corp.
306,MA,Mastercard Inc.
307,MAT,Mattel Inc.
308,MKC,McCormick & Co.
309,MCD,McDonald's Corp.
310,MCK,McKesson Corp.
311,MDT,Medtronic plc
312,MRK,Merck & Co.
313,MET,MetLife Inc.
314,MTD,Mettler Toledo
315,MGM,MGM Resorts International
316,KORS,Michael Kors Holdings
317,MCHP,Microchip Technology
318,MU,Micron Technology
319,MSFT,Microsoft Corp.
320,MAA,Mid-America Apartments
321,MHK,Mohawk Industries
322,TAP,Molson Coors Brewing Company
323,MDLZ,Mondelez International
324,MNST,Monster Beverage
325,MCO,Moody's Corp
326,MS,Morgan Stanley
327,MOS,The Mosaic Company
328,MSI,Motorola Solutions Inc.
329,MSCI,MSCI Inc
330,MYL,Mylan N.V.
331,NDAQ,"Nasdaq, Inc."
332,NOV,National Oilwell Varco Inc.
333,NKTR,Nektar Therapeutics
334,NTAP,NetApp
335,NFLX,Netflix Inc.
336,NWL,Newell Brands
337,NFX,Newfield Exploration Co
338,NEM,Newmont Mining Corporation
339,NWSA,News Corp. Class A
340,NWS,News Corp. Class B
341,NEE,NextEra Energy
342,NLSN,Nielsen Holdings
343,NKE,Nike
344,NI,NiSource Inc.
345,NBL,Noble Energy Inc
346,JWN,Nordstrom
347,NSC,Norfolk Southern Corp.
348,NTRS,Northern Trust Corp.
349,NOC,Northrop Grumman Corp.
350,NCLH,Norwegian Cruise Line
351,NRG,NRG Energy
352,NUE,Nucor Corp.
353,NVDA,Nvidia Corporation
354,ORLY,O'Reilly Automotive
355,OXY,Occidental Petroleum
356,OMC,Omnicom Group
357,OKE,ONEOK
358,ORCL,Oracle Corp.
359,PCAR,PACCAR Inc.
360,PKG,Packaging Corporation of America
361,PH,Parker-Hannifin
362,PAYX,Paychex Inc.
363,PYPL,PayPal
364,PNR,Pentair plc
365,PBCT,People's United Financial
366,PEP,PepsiCo Inc.
367,PKI,PerkinElmer
368,PRGO,Perrigo
369,PFE,Pfizer Inc.
370,PCG,PG&E Corp.
371,PM,Philip Morris International
372,PSX,Phillips 66
373,PNW,Pinnacle West Capital
374,PXD,Pioneer Natural Resources
375,PNC,PNC Financial Services
376,RL,Polo Ralph Lauren Corp.
377,PPG,PPG Industries
378,PPL,PPL Corp.
379,PX,Praxair Inc.
380,PFG,Principal Financial Group
381,PG,Procter & Gamble
382,PGR,Progressive Corp.
383,PLD,Prologis
384,PRU,Prudential Financial
385,PEG,Public Serv. Enterprise Inc.
386,PSA,Public Storage
387,PHM,Pulte Homes Inc.
388,PVH,PVH Corp.
389,QRVO,Qorvo
390,PWR,Quanta Services Inc.
391,QCOM,QUALCOMM Inc.
392,DGX,Quest Diagnostics
393,RJF,Raymond James Financial Inc.
394,RTN,Raytheon Co.
395,O,Realty Income Corporation
396,RHT,Red Hat Inc.
397,REG,Regency Centers Corporation
398,REGN,Regeneron
399,RF,Regions Financial Corp.
400,RSG,Republic Services Inc
401,RMD,ResMed
402,RHI,Robert Half International
403,ROK,Rockwell Automation Inc.
404,COL,Rockwell Collins
405,ROP,Roper Technologies
406,ROST,Ross Stores
407,RCL,Royal Caribbean Cruises Ltd
408,CRM,Salesforce.com
409,SBAC,SBA Communications
410,SCG,SCANA Corp
411,SLB,Schlumberger Ltd.
412,STX,Seagate Technology
413,SEE,Sealed Air
414,SRE,Sempra Energy
415,SHW,Sherwin-Williams
416,SPG,Simon Property Group Inc
417,SWKS,Skyworks Solutions
418,SLG,SL Green Realty
419,SNA,Snap-On Inc.
420,SO,Southern Co.
421,LUV,Southwest Airlines
422,SPGI,"S&P Global, Inc."
423,SWK,Stanley Black & Decker
424,SBUX,Starbucks Corp.
425,STT,State Street Corp.
426,SRCL,Stericycle Inc
427,SYK,Stryker Corp.
428,STI,SunTrust Banks
429,SIVB,SVB Financial
430,SYMC,Symantec Corp.
431,SYF,Synchrony Financial
432,SNPS,Synopsys Inc.
433,SYY,Sysco Corp.
434,TROW,T. Rowe Price Group
435,TTWO,Take-Two Interactive
436,TPR,"Tapestry, Inc."
437,TGT,Target Corp.
438,TEL,TE Connectivity Ltd.
439,FTI,TechnipFMC
440,TXN,Texas Instruments
441,TXT,Textron Inc.
442,TMO,Thermo Fisher Scientific
443,TIF,Tiffany & Co.
444,TWTR,"Twitter, Inc."
445,TJX,TJX Companies Inc.
446,TMK,Torchmark Corp.
447,TSS,Total System Services
448,TSCO,Tractor Supply Company
449,TDG,TransDigm Group
450,TRV,The Travelers Companies Inc.
451,TRIP,TripAdvisor
452,FOXA,Twenty-First Century Fox Class A
453,FOX,Twenty-First Century Fox Class B
454,TSN,Tyson Foods
455,UDR,UDR Inc
456,ULTA,Ulta Beauty
457,USB,U.S. Bancorp
458,UAA,Under Armour Class A
459,UA,Under Armour Class C
460,UNP,Union Pacific
461,UAL,United Continental Holdings
462,UNH,United Health Group Inc.
463,UPS,United Parcel Service
464,URI,"United Rentals, Inc."
465,UTX,United Technologies
466,UHS,"Universal Health Services, Inc."
467,UNM,Unum Group
468,VFC,V.F. Corp.
469,VLO,Valero Energy
470,VAR,Varian Medical Systems
471,VTR,Ventas Inc
472,VRSN,Verisign Inc.
473,VRSK,Verisk Analytics
474,VZ,Verizon Communications
475,VRTX,Vertex Pharmaceuticals Inc
476,VIAB,Viacom Inc.
477,V,Visa Inc.
478,VNO,Vornado Realty Trust
479,VMC,Vulcan Materials
480,WMT,Wal-Mart Stores
481,WBA,Walgreens Boots Alliance
482,DIS,The Walt Disney Company
483,WM,Waste Management Inc.
484,WAT,Waters Corporation
485,WEC,Wec Energy Group Inc
486,WFC,Wells Fargo
487,WELL,Welltower Inc.
488,WDC,Western Digital
489,WU,Western Union Co
490,WRK,WestRock Company
491,WY,Weyerhaeuser Corp.
492,WHR,Whirlpool Corp.
493,WMB,Williams Cos.
494,WLTW,Willis Towers Watson
495,WYNN,Wynn Resorts Ltd
496,XEL,Xcel Energy Inc
497,XRX,Xerox Corp.
498,XLNX,Xilinx Inc
499,XL,XL Group
500,XYL,Xylem Inc.
501,YUM,Yum! Brands Inc
502,ZBH,Zimmer Biomet Holdings
503,ZION,Zions Bancorp
504,ZTS,Zoetis
