,TICKER,Security
308,MDLZ,Mondelez International
309,MON,Monsanto Co.
310,MNST,Monster Beverage
311,MCO,Moody's Corp
312,MS,Morgan Stanley
313,MOS,The Mosaic Company
314,MSI,Motorola Solutions Inc.
315,MUR,Murphy Oil
316,MYL,Mylan N.V.
317,NDAQ,NASDAQ OMX Group
318,NOV,National Oilwell Varco Inc.
319,NAVI,Navient
320,NTAP,NetApp
321,NFLX,Netflix Inc.
322,NWL,Newell Rubbermaid Co.
323,NFX,Newfield Exploration Co
324,NEM,Newmont Mining Corp. (Hldg. Co.)
325,NWSA,News Corp. Class A
326,NWS,News Corp. Class B
327,NEE,NextEra Energy
328,NLSN,Nielsen Holdings
329,NKE,Nike
330,NI,NiSource Inc.
331,NBL,Noble Energy Inc
332,JWN,Nordstrom
333,NSC,Norfolk Southern Corp.
334,NTRS,Northern Trust Corp.
335,NOC,Northrop Grumman Corp.
336,NRG,NRG Energy
337,NUE,Nucor Corp.
338,NVDA,Nvidia Corporation
339,ORLY,O'Reilly Automotive
340,OXY,Occidental Petroleum
341,OMC,Omnicom Group
342,OKE,ONEOK
343,ORCL,Oracle Corp.
344,OI,Owens-Illinois Inc
345,PCAR,PACCAR Inc.
346,PH,Parker-Hannifin
347,PDCO,Patterson Companies
348,PAYX,Paychex Inc.
349,PYPL,PayPal
350,PNR,Pentair Ltd.
351,PBCT,People's United Financial
352,PEP,PepsiCo Inc.
353,PKI,PerkinElmer
354,PRGO,Perrigo
355,PFE,Pfizer Inc.
356,PCG,PG&E Corp.
357,PM,Philip Morris International
358,PSX,Phillips 66
359,PNW,Pinnacle West Capital
360,PXD,Pioneer Natural Resources
361,PBI,Pitney-Bowes
362,PNC,PNC Financial Services
363,RL,Polo Ralph Lauren Corp.
364,PPG,PPG Industries
365,PPL,PPL Corp.
366,PX,Praxair Inc.
367,CFG,Citizens Financial Group
368,PCLN,Priceline.com Inc
369,PFG,Principal Financial Group
370,PG,Procter & Gamble
371,PGR,Progressive Corp.
372,PLD,Prologis
373,PRU,Prudential Financial
374,PEG,Public Serv. Enterprise Inc.
375,PSA,Public Storage
376,PHM,Pulte Homes Inc.
377,PVH,PVH Corp.
378,QRVO,Qorvo
379,PWR,Quanta Services Inc.
380,QCOM,QUALCOMM Inc.
381,DGX,Quest Diagnostics
382,RRC,Range Resources Corp.
383,RTN,Raytheon Co.
384,O,Realty Income Corporation
385,RHT,Red Hat Inc.
386,REGN,Regeneron
387,RF,Regions Financial Corp.
388,RSG,Republic Services Inc
389,RAI,Reynolds American Inc.
390,RHI,Robert Half International
391,ROK,Rockwell Automation Inc.
392,COL,Rockwell Collins
393,ROP,Roper Industries
394,ROST,Ross Stores
395,RCL,Royal Caribbean Cruises Ltd
396,R,Ryder System
397,CRM,Salesforce.com
398,SCG,SCANA Corp
399,SLB,Schlumberger Ltd.
400,SNI,Scripps Networks Interactive Inc.
401,STX,Seagate Technology
402,SEE,Sealed Air
403,SRE,Sempra Energy
404,SHW,Sherwin-Williams
405,SIG,Signet Jewelers
406,SPG,Simon Property Group Inc
407,SWKS,Skyworks Solutions
408,SLG,SL Green Realty
409,SJM,Smucker (J.M.)
410,SNA,Snap-On Inc.
411,SO,Southern Co.
412,LUV,Southwest Airlines
413,SWN,Southwestern Energy
414,SE,Spectra Energy Corp.
415,SPGI,"S&P Global, Inc."
416,STJ,St Jude Medical
417,SWK,Stanley Black & Decker
418,SPLS,Staples Inc.
419,SBUX,Starbucks Corp.
420,STT,State Street Corp.
421,SRCL,Stericycle Inc
422,SYK,Stryker Corp.
423,STI,SunTrust Banks
424,SYMC,Symantec Corp.
425,SYF,Synchrony Financial
426,SYY,Sysco Corp.
427,TROW,T. Rowe Price Group
428,TGT,Target Corp.
429,TEL,TE Connectivity Ltd.
430,TGNA,Tegna
431,TDC,Teradata Corp.
432,TSO,Tesoro Petroleum Co.
433,TXN,Texas Instruments
434,TXT,Textron Inc.
435,COO,The Cooper Companies
436,HSY,The Hershey Company
437,TRV,The Travelers Companies Inc.
438,TMO,Thermo Fisher Scientific
439,TIF,Tiffany & Co.
440,TWX,Time Warner Inc.
441,TJX,TJX Companies Inc.
442,TMK,Torchmark Corp.
443,TSS,Total System Services
444,TSCO,Tractor Supply Company
445,TDG,TransDigm Group
446,RIG,Transocean
447,TRIP,TripAdvisor
448,FOXA,Twenty-First Century Fox Class A
449,FOX,Twenty-First Century Fox Class B
450,TSN,Tyson Foods
451,UDR,UDR Inc
452,ULTA,Ulta Salon Cosmetics & Fragrance Inc
453,USB,U.S. Bancorp
454,UA,Under Armour
455,UA.C,Under Armour
456,UNP,Union Pacific
457,UAL,United Continental Holdings
458,UNH,United Health Group Inc.
459,UPS,United Parcel Service
460,URI,"United Rentals, Inc."
461,UTX,United Technologies
462,UHS,"Universal Health Services, Inc."
463,UNM,Unum Group
464,URBN,Urban Outfitters
465,VFC,V.F. Corp.
466,VLO,Valero Energy
467,VAR,Varian Medical Systems
468,VTR,Ventas Inc
469,VRSN,Verisign Inc.
470,VRSK,Verisk Analytics
471,VZ,Verizon Communications
472,VRTX,Vertex Pharmaceuticals Inc
473,VIAB,Viacom Inc.
474,V,Visa Inc.
475,VNO,Vornado Realty Trust
476,VMC,Vulcan Materials
477,WMT,Wal-Mart Stores
478,WBA,Walgreens Boots Alliance
479,DIS,The Walt Disney Company
480,WM,Waste Management Inc.
481,WAT,Waters Corporation
482,WFC,Wells Fargo
483,HCN,Welltower Inc.
484,WDC,Western Digital
485,WU,Western Union Co
486,WRK,Westrock Co
487,WY,Weyerhaeuser Corp.
488,WHR,Whirlpool Corp.
489,WFM,Whole Foods Market
490,WMB,Williams Cos.
491,WLTW,Willis Towers Watson
492,WEC,Wisconsin Energy Corporation
493,WYN,Wyndham Worldwide
494,WYNN,Wynn Resorts Ltd
495,XEL,Xcel Energy Inc
496,XRX,Xerox Corp.
497,XLNX,Xilinx Inc
498,XL,XL Capital
499,XYL,Xylem Inc.
500,YHOO,Yahoo Inc.
501,YUM,Yum! Brands Inc
502,ZBH,Zimmer Biomet Holdings
503,ZION,Zions Bancorp
504,ZTS,Zoetis
